latitude,longitude,api
3335855.837735901,-10969744.670056043,42013346580000
3354325.074841444,-10952609.038199252,42013346590000
3337052.1318511516,-10981949.961665599,42013346600000
3331184.2536798767,-10966496.144675713,42013346610000
3359512.029019612,-10933856.713377671,42013346630000
3334416.798145701,-10961711.187683454,42013346690000
3359694.1959741763,-10932600.58424356,42013346700000
3352074.1852835533,-10965517.201073678,42013346810000
3352075.582838195,-10965505.06724918,42013346880000
3358314.7220016182,-10934532.088728314,42013346900000
3358307.6038216837,-10934522.181293633,42013346970000
3357719.731661276,-10943497.203919351,42013347020000
3357727.4850482214,-10943487.964401614,42013347030000
3335023.5587352947,-10964118.360352369,42013347080000
3360242.237460692,-10934772.316189446,42013347100000
3336106.457953494,-10973954.550558863,42013347110000
3336106.457953494,-10973942.194095384,42013347120000
3349709.7341638277,-10965743.736237442,42013347250000
3349711.385524334,-10965731.936371418,42013347270000
3351253.338009004,-10944266.19896175,42013347330000
3359770.089019733,-10940433.023615776,42013347390000
3359761.9530609823,-10940442.26313351,42013347400000
3332642.099921332,-10965611.154723909,42013347460000
3332642.3536502123,-10965578.092835141,42013347470000
3358366.5831426084,-10941622.917652866,42013347560000
3336274.217520189,-10969341.359540898,42013347580000
3361741.1727284845,-10959023.267258761,42013347590000
3337185.2574819024,-10989541.839618208,42013347630000
3337173.328152656,-10989544.066008024,42013347640000
3356640.9112835,-10935762.725699034,42013347650000
3364232.4007679974,-10934719.43943132,42013347680000
3364224.643560407,-10934728.344990581,42013347690000
3353754.533717345,-10944511.435799967,42013347720000
3336575.987035338,-10969219.57601797,42013347730000
3335706.7368112323,-10976016.744125808,42013347770000
3336422.3096090676,-10967428.556730598,42013347790000
3335701.407277235,-10976005.61217673,42013347800000
3335833.2504244642,-10974664.768910123,42013347860000
3355548.9622266116,-10942339.147256628,42013347870000
3351421.670438651,-10946301.898489887,42013347880000
3336253.786778894,-10966229.200536791,42013347890000
3333072.050459843,-10990511.209744038,42013347930000
3333074.8415680635,-10990523.00961006,42013347940000
3356047.1400872087,-10930466.25564658,42013348000000
3356054.892493065,-10930457.016128846,42013348010000
3335675.267212873,-10977254.950821903,42013348020000
3335664.100599114,-10977250.60936176,42013348030000
3357289.362267475,-10946710.997618552,42013348050000
3357021.055777266,-10947113.974175224,42013348060000
3357030.969420878,-10947106.849727813,42013348070000
3356681.2002354567,-10929700.822827887,42013348090000
3356686.28402361,-10929713.513249837,42013348100000
3357011.142141092,-10947121.098622635,42013348180000
3359847.762253248,-10961720.761159664,42013348260000
3333345.7087216643,-10977798.189936973,42013348270000
3333344.9474947653,-10977786.501390439,42013348280000
3357224.6682572877,-10928319.904544596,42013348290000
3349297.916689585,-10936013.083233828,42013348300000
3357304.487238908,-10928649.521556834,42013348310000
3349305.792165829,-10936003.7323966,42013348320000
3349313.5406228285,-10935994.381559376,42013348330000
3349262.9851982,-10936051.822416624,42013348340000
3355926.660659156,-10945796.619321177,42013348350000
3360703.7235739157,-10944497.854822092,42013348370000
3355000.098709379,-10962367.30476219,42013348400000
3334678.176350287,-10981375.441773616,42013348470000
3354999.7174738236,-10962355.282257184,42013348510000
3354777.3319408507,-10963837.723916078,42013348770000
3331397.4911388634,-10968880.385529524,42013348780000
3350259.013431562,-10954523.399482425,42013348840000
3358921.56094061,-10944871.999630647,42013348870000
3358912.4085753104,-10944863.98462731,42013348880000
3353387.697667682,-10957229.131025646,42013349000000
3353375.372559654,-10957228.908386664,42013349010000
3331369.203046107,-10968368.204552384,42013349050000
3339053.471914428,-10978579.65276234,42013349060000
3339053.471914428,-10978567.630257336,42013349070000
3353210.572991656,-10959855.825730404,42013349080000
3353975.6313659735,-10955913.223324979,42013349130000
3353987.8299645083,-10955912.889366506,42013349140000
3353995.5811631717,-10955739.008321887,42013349150000
3353984.2720387727,-10955739.008321887,42013349160000
3353210.1918076817,-10959867.84823541,42013349180000
3350877.170407317,-10954080.570548048,42013349320000
